"ID","square_meters","bathrooms_number","lift","rooms_number","other_features","total_floors_in_building","car_parking","availability","condominium_fees","year_of_construction","conditions","zone","floor","heating_centralized","energy_efficiency_class","selling_price"
6987,30,"1",NA,"1","electric gate | security door | internal exposure | centralized tv system | shared garden | window frames in glass / wood","4","no","available","120",1950,"to be refurbished","martini - insubria","mezzanine","central","g",150000
6988,105,"1","yes","3","kitchen | window frames in double glass / wood | exposure west","6","no","available","250",1950,"good condition / liveable","morgagni","2","central","f",695000
6989,56,"1","yes","2","terrace | full day concierge | partially furnished | cellar | shared garden","8","1 in garage/box",NA,"133",2016,"excellent / refurbished","rubattino","2","central","b",240000
6990,62,"1","yes","1","electric gate | optic fiber | video entryphone | alarm system | security door | balcony | centralized tv system | cellar | shared garden | window frames in double glass / metal | double exposure","8","no","available","No condominium fees",2025,"new / under construction","bande nere","1","central","a",427000
6991,88,"1","yes","2","electric gate | optic fiber | video entryphone | alarm system | security door | closet | balcony | terrace | half-day concierge | centralized tv system | cellar | window frames in double glass / pvcdouble exposure","4","no","available","200",1960,"excellent / refurbished","corso genova","4","central","g",698000
6992,40,"1","no","1","optic fiber | video entryphone | security door | external exposure | closet | centralized tv system | furnished | window frames in double glass / pvc","4","no",NA,"80",NA,"good condition / liveable","bocconi","ground floor","independent","g",259000
6993,128,"2","yes","5","optic fiber | video entryphone | security door | closet | balcony | full day concierge | centralized tv system | partially furnished | shared garden | window frames in double glass / wood | double exposure","8","no","available","358",1968,"good condition / liveable","bande nere","mezzanine","central","g",415000
6994,110,"2","yes","4","electric gate | optic fiber | video entryphone | security door | balcony | centralized tv system | cellar | shared garden | window frames in glass / metal | double exposure","7","1 in shared parking","available","330",1960,"to be refurbished","monte rosa - lotto","4","central","g",695000
6995,164,"2",NA,"3","security door | internal exposure | window frames in double glass / pvc","1 floor","1 in shared parking","available","100",2000,"excellent / refurbished","vigentino - fatima","mezzanine","independent","e",390000
6996,56,"1","yes","2","electric gate | optic fiber | video entryphone | security door | internal exposure | terrace | centralized tv system | only kitchen furnished | cellar | shared garden | window frames in double glass / metal","5","no","available","27",2025,"new / under construction","bologna - sulmona","4","independent","a",285000
6997,110,"2","yes","4","optic fiber | security door | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / wood | double exposure","7","1 in garage/box, 1 in shared parking","available","300",1970,"to be refurbished","navigli - darsena","6","central","g",518000
6998,45,"1",NA,"2","kitchen | furnished","4","no","available","100",NA,"good condition / liveable","parco trotter","4","independent","g",180000
6999,43,"1","yes","2","electric gate | optic fiber | alarm system | security door | external exposure | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / metal","8","no","available","200",1980,"excellent / refurbished","isola","1","central","d",355000
7000,120,"2","no","4","electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | closet | balcony | terrace | single tv system | private garden | window frames in double glass / pvc","2","1 in garage/box, 1 in shared parking","available",NA,2024,"new / under construction","tre castelli - faenza","ground floor","independent",NA,564134
7001,145,"3","yes","3","video entryphone | alarm system | balcony | full day concierge | centralized tv system | partially furnished | cellar | shared garden","8","no","available","600",1970,"excellent / refurbished","city life","5","central",NA,930000
7002,100,"2","no","3","tavern | optic fiber | internal exposure | single tv system | partially furnished | cellar | window frames in double glass / metal","4","no","available","100",1930,"good condition / liveable","parco trotter","ground floor","independent","f",359000
7003,125,"2","yes","4","electric gate | optic fiber | video entryphone | alarm system | security door | closet | balcony | terrace | full day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / wood | double exposure","8","1 in garage/box","available","No condominium fees",1980,"excellent / refurbished","tre castelli - faenza","1","central",NA,350000
7004,50,"1","yes","2","electric gate | optic fiber | security door | balcony | full day concierge | centralized tv system | furnished | cellar | shared garden | window frames in double glass / pvcdouble exposure","8","no","available","100",1960,"excellent / refurbished","vigentino - fatima","3","central","d",273000
7005,70,"1","yes","3","hydromassage | electric gate | optic fiber | security door | external exposure | balcony | centralized tv system | shared garden | window frames in double glass / wood","6","no","available","150",1960,"good condition / liveable","inganni","1","central","f",335000
7006,137,"2","no","4","tavern | optic fiber | alarm system | external exposure | terrace | centralized tv system | only kitchen furnished | cellar | shared garden | window frames in double glass / pvc","2","1 in shared parking",NA,NA,1940,"excellent / refurbished","baggio","mezzanine","independent","d",395000
7007,55,"1","no","2","optic fiber | video entryphone | security door | external exposure | balcony | centralized tv system | partially furnished | shared garden | window frames in double glass / metal","2","no",NA,"100",1950,"to be refurbished","niguarda","mezzanine","central","g",189000
